id;code_association;denomination;slogan;logo_path;reglement_path;statut_path;description;date_creation;fuseau_horaire;langue;presentation;siege_social;email;is_actif
1;Health Berkshire;arabes solid invoice;primary reintermediate online;Tasty Credit;Poitou-Charentes centrafricaine Saint-Bernard;open-source SMS;indexing;2023-06-08;c;SPANISH;transmitting revolutionize;a Avon;Arcadie_Perrin@gmail.com;true
2;invoice connect;Awesome;Pizza Superviseur ROI;open Hat transmitting;Avon services;deposit channels Designer;concept schemas;2023-06-08;ivory;FRENCH;enterprise Aquitaine Ouguiya;improvement Directeur;Aliz.Aubry5@hotmail.fr;false
3;a e-tailers Operative;Géorgie Soft services;recontextualize Ergonomic;visionary Outdoors;alliance Producteur revolutionize;syndicate Auto;Saint-Séverin Estonie Fantastic;2023-06-07;Phased 24/7;SPANISH;Small Peso;leverage;Anglique87@gmail.com;true
4;communities;a Books;Bedfordshire Joubert parsing;Savings Keyboard navigate;Hat;Electronics internet best-of-breed;b a deliverables;2023-06-08;RSS Soap;SPANISH;XML Poitou-Charentes;high-level c Congolese;Romuald_Maillard79@yahoo.fr;true
5;Robust Customer-focused;du;deliverables;digital;Pants l'Abbaye up;override;Buckinghamshire;2023-06-07;orchid;SPANISH;cross-platform networks;edge ivory Népal;Gaud.Martinez@gmail.com;true
6;Midi-Pyrénées Producteur;deposit a sensor;copying eyeballs bleeding-edge;generation back-end;Riel Multi-layered;Frozen d'Orsel;Malaisie;2023-06-08;Car;ENGLISH;Pants calculate;orchestration Superviseur Wooden;Toussaint95@gmail.com;true
7;Sleek la SCSI;Picardie multi-byte;Cheese orange Île-de-France;aggregate b mobile;backing USB;a 24/7 syndicate;Analyste Investment;2023-06-08;Aquitaine a Small;FRENCH;invoice Steel compressing;Buckinghamshire Steel République;Philothe94@hotmail.fr;true
8;Licensed Singapour Granite;system;monetize;hard Charlemagne;b;Account;HDD;2023-06-07;Incredible;FRENCH;Poitou-Charentes target synthesizing;user-facing payment;Aure_Jean7@gmail.com;true
9;Superviseur benchmark Toys;intranet Refined Gloves;US driver Basse-Normandie;Salad monitoring;Account Concrete b;connect de green;c Nakfa purple;2023-06-07;c;ENGLISH;Computer Brunei;panel;Aymardine.Vincent@gmail.com;false
10;Buckinghamshire;Saint-Honoré;c;Colombie 1080p;d'Orsel a;Peso;Developpeur;2023-06-07;iterate Keyboard Consultant;FRENCH;transmitter reboot green;core;Patrice33@hotmail.fr;false
