id;department_name;street_address;postal_code;city;state_province;pays
1;synthesize Superviseur Self-enabling;Bermudian;parse index;Cayenne;matrix transform;c
2;Palau;a Stagiaire;interface optical;Lake Juste;auxiliary des withdrawal;Avon bypass
3;Montmorency;bandwidth;Borders;Arnouldton;SMS;Pizza throughput
4;Soft application;bluetooth transmit Avon;withdrawal;Dijon;Tunisie Concrete Fundamental;Grocery Rivoli a
5;Midi-Pyrénées Expanded web-readiness;back-end Keyboard;Oman a Portugal;Gerardmouth;Account Games;invoice Seychelles Laffitte
6;Gorgeous;c;Account b;Fournierburgh;Refined Account;quantify
7;solid Down-sized;granular;la b;Nîmes;c Bedfordshire;Account
8;compress global;overriding c;bypass front-end Account;South Ferdinand;Rhône-Alpes a killer;Metical Sommerard
9;Bretagne;Borders Clothing;proactive Bretagne;Villejuif;Cambridgeshire TCP Cotton;Chips Islands ROI
10;Aquitaine;de;b Avon Vaugirard;Acantheside;Profound Practical Franche-Comté;deposit PCI
