id;matricule_contributeur;identifiant_pot;contenu;date_comentaire
1;improvement vortals;value-added Poitou-Charentes;Berkshire;2023-06-07T23:32:15
2;Pants;protocol SQL Intelligent;payment Account silver;2023-06-08T13:30:46
3;EXE compress;24/7 communities panel;Bolivar Handmade cohesive;2023-06-07T20:07:16
4;user green loyalty;exuding protocol;connecting;2023-06-08T04:23:31
5;Credit Shirt Distributed;withdrawal silver;state Jewelery;2023-06-08T03:19:07
6;Analyste;white THX;Rhône-Alpes Concrete;2023-06-08T11:24:00
7;Plastic generating;d'Abbeville;Vision-oriented;2023-06-08T05:14:07
8;Stagiaire Rupee;quantify Bedfordshire copying;des;2023-06-08T07:34:32
9;Rial;e-commerce;RSS Stand-alone compress;2023-06-08T09:05:17
10;platforms Down-sized;Directeur bandwidth Small;turn-key facilitate connecting;2023-06-08T12:11:55
