id;code_association;libele;en_ligne;date_seance;lieu_seance;matricule_membre_recoit;nature;compte_rendu;resume_assemble;document_cr_path
1;bandwidth Unbranded;transmitting bluetooth;true;Pants la complexity;deposit empowering Bacon;impactful compressing national;EXTRAORDINAIRE;PNG Wooden cross-platform;Rubber Consultant Directeur;parse Champagne-Ardenne
2;empower Intelligent object-oriented;silver Handmade;true;Account web-readiness;c Rupee;withdrawal Balboa;MIXTE;microchip Dinar;Poitou-Charentes Malaisie bandwidth;SCSI Table
3;Home improvement deposit;Granite Account payment;false;la systems;XML solid;Pants Languedoc-Roussillon;EXTRAORDINAIRE;c THX;Awesome;a Ergonomic
4;distributed Practical;invoice;true;e-markets;Borders;Checking;ORDINAIRE;mindshare Rustic implement;interfaces;Augustins upward-trending enterprise
5;Sleek Cheese Saint-Jacques;Tuna Rosiers;false;drive metrics Avon;calculating;withdrawal Electronics Electronics;EXTRAORDINAIRE;Optimized;transmitter;eyeballs
6;mobile;bypass web;false;Computer whiteboard help-desk;hierarchy Plastic;Gloves Account hacking;MIXTE;synthesizing integrate;mobile navigate input;Tools Bedfordshire Industrial
7;d'Azur Fantastic Architecte;Computers Concrete Dollar;false;Frozen Dauphine Inverse;Wooden Aquitaine Handcrafted;Panama;MIXTE;Cambridgeshire Handcrafted;24/7;applications turquoise
8;deposit deposit scalable;deposit Qatari;false;service-desk;Granite;systemic mission-critical;EXTRAORDINAIRE;FTP Monténégro Intelligent;needs-based;invoice navigate
9;Borders Balanced;Garden Norvège;true;override Outdoors;Vanuatu Computer Credit;proactive a Midi-Pyrénées;MIXTE;sensor Investment;Auvergne;Polarised JBOD
10;system Sleek green;generation;true;Borders monetize;Object-based;Tala haptic microchip;ORDINAIRE;c;Stagiaire pixel;experiences auxiliary
